id,vendor,version,java,download_id
latest,mojang,1.20.6,17,145ff0858209bcfc164859ba735d4199aafa1eea
1.7.10-mojang,mojang,1.7.10,8,952438ac4e01b4d115c5fc38f891710c4941df29
